Item_ID,Item_Name,Category,Cost_Price_NGN,Wholesale_Price_NGN,Retail_Price_NGN,Stock_Quantity
ITEM00001,Beans 50kg,Food,60211.43,68652.17,,842
ITEM00001,Beans 50kg,Food,60211.43,68652.17,85624.49,842
ITEM00001,Beans 50kg,Food,60211.43,68652.17,85624.49,842
ITEM00001,Beans 50kg,Food,,68652.17,85624.49,

ITEM00002,Plastic Chair,Fashion,11603.95,13552.11,15125.12,460
ITEM00003,Sneakers,Fashion,24973.28,27535.21,31625.36,698
ITEM00004,Phone Charger,Electronics,5273.98,5976.76,7633.39,963
ITEM00005,Phone Charger,Electronics,4479.17,5123.73,6227.3,57
ITEM00006,Table Fan,Household,23381.93,27316.36,30302.52,118
ITEM00007,Beans 50kg,Food,79247.38,94758.82,117581.58,920
ITEM00008,Sneakers,Fashion,24884.61,29408.46,35329.46,572
ITEM00009,Palm Oil 25L,Food,59573.75,68782.79,87416.35,621
ITEM00010,Beans 50kg,Food,72988.67,83939.66,103790.28,347
ITEM00011,Power Bank,Electronics,13348.53,15382.61,16934.55,828
ITEM00012,Cooking Gas Cylinder,Household,34157.54,39124.77,44647.15,649
ITEM00013,Ankara Fabric,Fashion,13730.44,14926.68,17189.46,265
ITEM00014,Ankara Fabric,Fashion,13624.9,15856.6,19669.26,652
ITEM00015,Ankara Fabric,Fashion,14257.2,16623.34,19978.97,13
ITEM00016,Plastic Chair,Fashion,12110.91,13824.58,17273.67,248
ITEM00017,Power Bank,Electronics,12065.62,14291.08,17186.08,211
ITEM00018,Garri 25kg,Food,28458.3,33031.33,38497.25,787
ITEM00019,Table Fan,Household,27393.77,30777.45,34493.27,737
ITEM00020,Phone Charger,Electronics,4389.79,4751.35,5419.03,100
ITEM00021,Power Bank,Electronics,12135.99,13193.02,15569.83,907
ITEM00022,Yam Tubers,Food,25474.87,28588.3,34600.16,819
ITEM00023,Palm Oil 25L,Food,56665.25,64340.71,82853.3,440
ITEM00024,LED Bulb,Household,2594.62,2854.15,3276.4,219
ITEM00025,Plastic Chair,Fashion,12360.28,13629.92,16808.65,426
ITEM00026,School Bag,Electronics,9400.63,10412.37,11771.28,593
ITEM00027,Yam Tubers,Food,28100.75,32980.77,40986.88,633
ITEM00028,Plastic Chair,Fashion,12328.22,14455.51,15933.84,353
ITEM00029,Bluetooth Speaker,Electronics,18678.35,21030.93,25892.95,110
ITEM00030,Phone Charger,Electronics,4989.05,5491.37,6219.76,613
ITEM00031,Phone Charger,Electronics,4973.01,5437.04,6176.83,708
ITEM00032,Palm Oil 25L,Food,61464.06,67023.83,81218.24,274
ITEM00033,Beans 50kg,Food,74000.41,83395.02,97996.01,643
ITEM00034,Bluetooth Speaker,Electronics,14534.06,15776.21,18840.92,573
ITEM00035,LED Bulb,Household,2843.57,3184.9,3700.15,506
ITEM00036,Beans 50kg,Food,71797.68,85825.8,110774.79,18
ITEM00037,Table Fan,Household,29279.87,33405.42,38687.86,314
ITEM00038,Table Fan,Household,26005.98,30653.7,37042.23,380
ITEM00039,Vegetable Oil 5L,Food,20916.12,22913.86,29120.56,835
ITEM00040,School Bag,Electronics,10530.66,11711.88,14438.83,828
ITEM00041,Garri 25kg,Food,31066.87,37080.97,43182.84,875
ITEM00042,Ankara Fabric,Fashion,15207.0,17123.48,20727.76,468
ITEM00043,Sneakers,Fashion,20942.13,24246.98,27074.14,333
ITEM00044,Yam Tubers,Food,23123.7,27682.19,33471.57,504
ITEM00045,Beans 50kg,Food,70578.44,80889.57,95957.5,793
ITEM00046,Cooking Gas Cylinder,Household,33690.42,37620.12,47084.85,625
ITEM00047,Phone Charger,Electronics,5476.7,6264.44,7953.21,605
ITEM00048,LED Bulb,Household,2254.7,2449.85,2792.65,439
ITEM00049,Sneakers,Fashion,20809.79,22755.18,25401.77,699
ITEM00050,Plastic Chair,Fashion,10320.07,11154.56,13141.31,868
ITEM00051,Ankara Fabric,Fashion,15701.39,18623.5,22475.4,671
ITEM00052,Palm Oil 25L,Food,58987.26,68457.88,80462.68,409
ITEM00053,Yam Tubers,Food,26078.05,29097.88,35665.63,841
ITEM00054,Phone Charger,Electronics,5448.0,6028.43,7240.93,943
ITEM00055,Power Bank,Electronics,12630.15,14675.84,18892.58,798
ITEM00056,Rice 50kg,Food,86742.18,103253.02,122032.5,878
ITEM00057,Bluetooth Speaker,Electronics,14577.71,16267.21,18162.32,272
ITEM00058,Garri 25kg,Food,28790.21,32204.36,37369.52,426
ITEM00059,Ankara Fabric,Fashion,15331.3,18129.39,22139.23,256
ITEM00060,Sneakers,Fashion,18904.57,22443.6,25837.18,372
ITEM00061,LED Bulb,Household,2588.25,3079.2,3552.78,736
ITEM00062,Ankara Fabric,Fashion,16329.14,18209.91,21267.62,679
ITEM00063,Yam Tubers,Food,26850.49,29386.18,36710.05,13
ITEM00064,Cooking Gas Cylinder,Household,35174.03,39845.13,51321.59,757
ITEM00065,Yam Tubers,Food,25779.58,28756.92,33647.76,200
ITEM00066,Tomato Basket,Food,18407.57,21832.56,24869.42,194
ITEM00067,LED Bulb,Household,2155.94,2337.89,2768.36,548
ITEM00068,Yam Tubers,Food,21999.64,25433.03,29766.0,248
ITEM00069,Beans 50kg,Food,73254.91,87081.18,113031.8,963
ITEM00070,Phone Charger,Electronics,5513.6,6600.88,7873.36,154
ITEM00071,Plastic Chair,Fashion,9402.15,10887.84,13455.81,160
ITEM00072,Palm Oil 25L,Food,60019.23,71662.4,91925.49,763
ITEM00073,Phone Charger,Electronics,5161.45,5621.23,6890.57,293
ITEM00074,Garri 25kg,Food,34039.01,38229.66,43959.36,717
ITEM00075,Sneakers,Fashion,22298.35,24105.54,29444.48,684
ITEM00076,Power Bank,Electronics,13985.66,16751.21,19772.72,197
ITEM00077,Tomato Basket,Food,20121.33,23910.73,28321.54,584
ITEM00078,Palm Oil 25L,Food,65353.7,70802.0,91749.83,541
ITEM00079,Bluetooth Speaker,Electronics,15073.68,16312.37,18852.5,103
ITEM00080,Sneakers,Fashion,24812.8,27890.49,33295.31,766
ITEM00081,LED Bulb,Household,2144.51,2382.61,2697.05,858
ITEM00082,Phone Charger,Electronics,5284.13,6243.89,7091.25,947
ITEM00083,Garri 25kg,Food,27063.69,29749.98,36315.7,97
ITEM00084,Table Fan,Household,24526.49,28815.63,36025.39,186
ITEM00085,School Bag,Electronics,8937.27,10246.89,12575.93,826
ITEM00086,Sneakers,Fashion,21638.69,24349.74,28388.31,311
ITEM00087,Beans 50kg,Food,66521.54,73006.49,81177.64,629
ITEM00088,Tomato Basket,Food,17096.16,20510.66,24490.8,354
ITEM00089,Plastic Chair,Fashion,10838.6,12509.46,15022.03,225
ITEM00090,Table Fan,Household,26209.2,29687.84,37232.42,628
ITEM00091,Phone Charger,Electronics,5185.43,5831.2,7161.05,213
ITEM00092,Plastic Chair,Fashion,12297.33,14617.68,18626.61,145
ITEM00093,Table Fan,Household,28235.79,33277.1,41815.89,535
ITEM00094,Yam Tubers,Food,22183.08,26117.08,30639.92,201
ITEM00095,LED Bulb,Household,2346.54,2707.78,3320.94,200
ITEM00096,Vegetable Oil 5L,Food,27537.89,32675.21,40826.29,782
ITEM00097,Vegetable Oil 5L,Food,21477.2,23966.69,30950.01,533
ITEM00098,Sneakers,Fashion,21385.25,24901.94,29495.61,546
ITEM00099,School Bag,Electronics,11893.89,13422.66,16505.25,151
ITEM00100,Garri 25kg,Food,35191.18,40540.24,47778.0,168
ITEM00101,Table Fan,Household,26280.75,31531.07,39337.08,396
ITEM00102,Palm Oil 25L,Food,61962.92,74240.44,95205.84,394
ITEM00103,Plastic Chair,Fashion,10857.26,12393.72,15911.62,457
ITEM00104,Rice 50kg,Food,88235.13,101370.13,114691.94,143
ITEM00105,Plastic Chair,Fashion,9454.22,11228.57,12809.77,899
ITEM00106,Plastic Chair,Fashion,9825.72,11773.93,14729.01,369
ITEM00107,Plastic Chair,Fashion,11376.86,13349.98,16369.77,818
ITEM00108,Sneakers,Fashion,20234.84,22011.91,28197.73,406
ITEM00109,Power Bank,Electronics,14172.51,15855.03,18435.59,477
ITEM00110,Sneakers,Fashion,21018.07,24960.8,31690.33,120
ITEM00111,Vegetable Oil 5L,Food,27341.84,32050.17,39638.22,679
ITEM00112,Plastic Chair,Fashion,12053.56,14091.43,16051.42,69
ITEM00113,Bluetooth Speaker,Electronics,16963.47,19680.19,22146.09,750
ITEM00114,Phone Charger,Electronics,5192.97,5867.18,7278.5,882
ITEM00115,Power Bank,Electronics,12573.11,14187.36,16055.72,368
ITEM00116,Bluetooth Speaker,Electronics,16970.72,19975.76,25146.81,888
ITEM00117,Rice 50kg,Food,74558.06,83151.15,100730.88,701
ITEM00118,Garri 25kg,Food,34356.24,39928.13,47729.03,12
ITEM00119,Vegetable Oil 5L,Food,26874.55,31366.49,36231.62,210
ITEM00120,Beans 50kg,Food,78445.14,92670.91,120172.78,644
ITEM00121,Phone Charger,Electronics,5343.57,5976.17,7436.95,704
ITEM00122,Sneakers,Fashion,25033.34,29264.64,36745.05,102
ITEM00123,Sneakers,Fashion,20207.02,22081.8,27684.89,687
ITEM00124,Power Bank,Electronics,15248.89,16721.43,20346.69,812
ITEM00125,Table Fan,Household,27576.83,31164.03,40137.39,100
ITEM00126,Bluetooth Speaker,Electronics,16604.72,18043.14,21954.25,880
ITEM00127,Beans 50kg,Food,71267.85,85074.13,102430.03,537
ITEM00128,Plastic Chair,Fashion,10480.59,12453.32,14380.38,620
ITEM00129,Bluetooth Speaker,Electronics,15921.62,17288.84,19991.9,60
ITEM00130,School Bag,Electronics,9685.14,11434.25,14262.82,617
ITEM00131,Bluetooth Speaker,Electronics,14870.38,16968.07,19800.95,459
ITEM00132,Bluetooth Speaker,Electronics,16982.48,19771.61,24630.33,377
ITEM00133,Beans 50kg,Food,78143.0,92711.33,119647.8,782
ITEM00134,Bluetooth Speaker,Electronics,17663.78,20299.86,24113.43,256
ITEM00135,Plastic Chair,Fashion,11069.22,12109.28,13555.91,69
ITEM00136,Tomato Basket,Food,18592.98,20086.17,24772.46,504
ITEM00137,School Bag,Electronics,10387.87,11838.33,13044.71,746
ITEM00138,Rice 50kg,Food,74848.22,89361.88,112363.69,142
ITEM00139,Tomato Basket,Food,20840.73,23940.06,28850.9,984
ITEM00140,Phone Charger,Electronics,4365.67,4910.3,5882.28,675
ITEM00141,Cooking Gas Cylinder,Household,37274.54,40394.81,49034.8,934
ITEM00142,Palm Oil 25L,Food,63601.73,75673.19,91056.16,475
ITEM00143,Vegetable Oil 5L,Food,25050.29,28037.75,32657.13,131
ITEM00144,Yam Tubers,Food,27721.95,32284.24,37330.32,185
ITEM00145,Cooking Gas Cylinder,Household,32806.03,38163.53,45149.73,505
ITEM00146,Table Fan,Household,30091.1,33415.14,42737.36,592
ITEM00147,Rice 50kg,Food,87643.5,95325.74,107439.17,736
ITEM00148,Palm Oil 25L,Food,64287.87,72401.0,84343.76,797
ITEM00149,Plastic Chair,Fashion,11543.11,12905.84,14692.79,765
ITEM00150,Rice 50kg,Food,90520.04,105368.11,124906.24,592
ITEM00151,Table Fan,Household,30994.1,36522.64,41150.05,27
ITEM00152,Vegetable Oil 5L,Food,23913.2,26464.58,33137.86,534
ITEM00153,LED Bulb,Household,2735.44,3127.66,3505.15,821
ITEM00154,Vegetable Oil 5L,Food,26297.66,28529.62,35178.52,849
ITEM00155,Phone Charger,Electronics,4732.13,5232.37,6035.76,836
ITEM00156,Sneakers,Fashion,24817.86,29071.93,34724.62,20
ITEM00157,Garri 25kg,Food,30018.16,35277.58,40216.35,440
